Observation_id,Behaviour,Modifier,Phase,Percentage
Ballantine_FC_07112022_0855,Ass,Kin,Silence_3,100
Ballantine_FC_07112022_0855,Pre,With kin,Dishabituation,3.6585365853658534
Ballantine_FC_07112022_0855,Rst,With kin,Habituation,68.44262295081968
Ballantine_FC_07112022_0855,Rst,With kin,Silence_1,100
Ballantine_FC_07112022_0855,Rst,With kin,Dishabituation,36.99186991869919
Ballantine_FC_07112022_0855,Rst,With kin,Habituation,22.950819672131146
Ballantine_FC_07112022_0855,Rst,With kin,Silence_2,100
Ballantine_FC_07112022_0855,Rst,With kin,Dishabituation,43.90243902439025
Ballantine_FC_07112022_0855,Rst,With kin,Silence_3,100
Ballantine_FC_07112022_0855,Vig,Long neck,Habituation,4.098360655737705
Ballantine_FC_07112022_0855,Vig,Long neck,Dishabituation,3.6585365853658534
Ballantine_FC_07112022_0855,Vig,Mid neck,Dishabituation,8.130081300813007
Ballantine_FC_07112022_0855,Vig,Mid neck,Dishabituation,3.6585365853658534
Ballantine_FC_07112022_0855,Vig,Short Neck,Habituation,4.508196721311475
Ballantine_FC_09102022_0930,Ass,Kin,Dishabituation,100
Ballantine_FC_09102022_0930,Ass,Kin,Habituation,100
Ballantine_FC_09102022_0930,Ass,Kin,Silence_1,100
Ballantine_FC_09102022_0930,Ass,Kin,Silence_2,100
Ballantine_FC_09102022_0930,Ass,Kin,Silence_3,100
Ballantine_FC_09102022_0930,Eat,With kin,Habituation,8.870967741935484
Ballantine_FC_09102022_0930,Eat,With kin,Silence_1,100
Ballantine_FC_09102022_0930,Eat,With kin,Habituation,1.6129032258064515
Ballantine_FC_09102022_0930,Eat,With kin,Habituation,2.0161290322580645
Ballantine_FC_09102022_0930,Eat,With kin,Dishabituation,1.644736842105263
Ballantine_FC_09102022_0930,Eat,With kin,Dishabituation,2.631578947368421
Ballantine_FC_09102022_0930,Eat,With kin,Dishabituation,6.907894736842106
Ballantine_FC_09102022_0930,Mov,Away from speaker,Dishabituation,2.631578947368421
Ballantine_FC_09102022_0930,Mov,Away from speaker,Dishabituation,2.631578947368421
Ballantine_FC_09102022_0930,Rst,With kin,Habituation,13.306451612903224
Ballantine_FC_09102022_0930,Rst,With kin,Dishabituation,21.38157894736842
Ballantine_FC_09102022_0930,Rst,With kin,Habituation,54.03225806451613
Ballantine_FC_09102022_0930,Rst,With kin,Silence_2,100
Ballantine_FC_09102022_0930,Rst,With kin,Dishabituation,0.9868421052631579
Ballantine_FC_09102022_0930,Rst,With kin,Dishabituation,5.592105263157895
Ballantine_FC_09102022_0930,Rst,With kin,Silence_3,100
Ballantine_FC_09102022_0930,Vig,Long neck,Dishabituation,6.907894736842106
Ballantine_FC_09102022_0930,Vig,Mid neck,Habituation,6.451612903225806
Ballantine_FC_09102022_0930,Vig,Mid neck,Habituation,1.6129032258064515
Ballantine_FC_09102022_0930,Vig,Mid neck,Habituation,10.887096774193548
Ballantine_FC_09102022_0930,Vig,Mid neck,Habituation,1.2096774193548387
Ballantine_FC_09102022_0930,Vig,Mid neck,Dishabituation,2.302631578947368
Ballantine_FC_09102022_0930,Vig,Mid neck,Dishabituation,12.171052631578947
Ballantine_FC_09102022_0930,Vig,Mid neck,Dishabituation,11.18421052631579
Ballantine_FC_09102022_0930,Vig,Mid neck,Dishabituation,3.9473684210526314
