Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count,Phase_Duration_s,Rate
Ballantine_FRP_23102022_0910,Dishabituation,FVO,Reaction,Distance,1,739,0.0013531799729364006
Ballantine_FRP_23102022_0910,Dishabituation,FVO,Reaction,Other,8,739,0.010825439783491205
Ballantine_FRP_23102022_0910,Dishabituation,Fllw,Interaction,Kin,1,739,0.0013531799729364006
Ballantine_FRP_23102022_0910,Dishabituation,Look,Reaction,Away from speaker,11,739,0.014884979702300407
Ballantine_FRP_23102022_0910,Habituation,Agn,Interaction,Towards other,6,429,0.013986013986013986
Ballantine_FRP_23102022_0910,Habituation,FVO,Reaction,Other,4,429,0.009324009324009324
Ballantine_FRP_23102022_0910,Habituation,Fllw,Interaction,Kin,1,429,0.002331002331002331
Ballantine_FRP_23102022_0910,Habituation,HSH,Reaction,None,6,429,0.013986013986013986
Ballantine_FRP_23102022_0910,Habituation,Htlt,Reaction,None,2,429,0.004662004662004662
Ballantine_FRP_23102022_0910,Habituation,Look,Reaction,At speaker,18,429,0.04195804195804196
Ballantine_FRP_23102022_0910,Habituation,Look,Reaction,Away from speaker,36,429,0.08391608391608392
Ballantine_FRP_23102022_0910,Habituation,Voc,Reaction,Contact,3,429,0.006993006993006993
Ballantine_FRP_23102022_0910,Silence_1,Agn,Interaction,Towards other,1,151,0.006622516556291391
Ballantine_FRP_23102022_0910,Silence_1,Fllw,Interaction,Kin,1,151,0.006622516556291391
Ballantine_FRP_23102022_0910,Silence_1,HSH,Reaction,None,1,151,0.006622516556291391
Ballantine_FRP_23102022_0910,Silence_1,Htlt,Reaction,None,1,151,0.006622516556291391
Ballantine_FRP_23102022_0910,Silence_1,Look,Reaction,At speaker,12,151,0.07947019867549669
Ballantine_FRP_23102022_0910,Silence_1,Look,Reaction,Away from speaker,21,151,0.1390728476821192
Ballantine_FRP_23102022_0910,Silence_1,Voc,Reaction,Contact,1,151,0.006622516556291391
Ballantine_FRP_23102022_0910,Silence_2,FVO,Reaction,Distance,2,490,0.004081632653061225
