Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Ballantine_FC_09102022_0930,Habituation,FVO,Reaction,Distance,4
Ballantine_FC_09102022_0930,Habituation,HSH,Reaction,None,9
Ballantine_FC_09102022_0930,Habituation,Htlt,Reaction,None,2
Ballantine_FC_09102022_0930,Habituation,Look,Reaction,At speaker,19
Ballantine_FC_09102022_0930,Habituation,Look,Reaction,Away from speaker,2
Ballantine_FC_09102022_0930,Silence_1,HSH,Reaction,None,2
Ballantine_FC_09102022_0930,Silence_1,Htlt,Reaction,None,1
Ballantine_FC_09102022_0930,Silence_1,Look,Reaction,Away from speaker,1
Ballantine_FC_09102022_0930,Silence_2,FVO,Reaction,Distance,2
Ballantine_FC_09102022_0930,Silence_2,Look,Reaction,At speaker,4
Ballantine_FC_09102022_0930,Silence_3,NA,NA,NA,0
Ballantine_FRF_22112022_1026,Dishabituation,FVO,Reaction,Distance,3
Ballantine_FRF_22112022_1026,Dishabituation,FVO,Reaction,Other,1
Ballantine_FRF_22112022_1026,Dishabituation,Look,Reaction,At speaker,3
Ballantine_FRF_22112022_1026,Dishabituation,Look,Reaction,Away from speaker,10
Ballantine_FRF_22112022_1026,Habituation,Agn,Interaction,Towards other,1
Ballantine_FRF_22112022_1026,Habituation,Fllw,Interaction,Kin,1
Ballantine_FRF_22112022_1026,Habituation,HSH,Reaction,None,1
Ballantine_FRF_22112022_1026,Habituation,Htlt,Reaction,None,1
Ballantine_FRF_22112022_1026,Habituation,Look,Reaction,At speaker,25
Ballantine_FRF_22112022_1026,Habituation,Look,Reaction,Away from speaker,22
Ballantine_FRF_22112022_1026,Habituation,Voc,Reaction,Contact,6
Ballantine_FRF_22112022_1026,Silence_1,FVO,Reaction,Other,3
Ballantine_FRF_22112022_1026,Silence_1,Look,Reaction,At speaker,3
Ballantine_FRF_22112022_1026,Silence_1,Look,Reaction,Away from speaker,10
Ballantine_FRF_22112022_1026,Silence_1,Voc,Reaction,Contact,2
Ballantine_FRF_22112022_1026,Silence_2,FVO,Reaction,Distance,1
Ballantine_FRF_22112022_1026,Silence_2,Look,Reaction,At speaker,1
Ballantine_FRF_22112022_1026,Silence_2,Look,Reaction,Away from speaker,1
Ballantine_FRF_22112022_1026,Silence_3,Agn,Interaction,Towards other,2
Ballantine_FRF_22112022_1026,Silence_3,FVO,Reaction,Distance,1
Ballantine_FRF_22112022_1026,Silence_3,Look,Reaction,At speaker,6
Ballantine_FRF_22112022_1026,Silence_3,Look,Reaction,Away from speaker,9
Ballantine_FRF_22112022_1026,Silence_3,Voc,Reaction,Contact,5
Ballantine_FRF_26102022_0947,Dishabituation,FVO,Reaction,Distance,6
Ballantine_FRF_26102022_0947,Dishabituation,FVO,Reaction,Other,3
Ballantine_FRF_26102022_0947,Dishabituation,HSH,Reaction,None,1
Ballantine_FRF_26102022_0947,Dishabituation,Htlt,Reaction,None,1
Ballantine_FRF_26102022_0947,Dishabituation,Look,Reaction,At speaker,3
Ballantine_FRF_26102022_0947,Dishabituation,Look,Reaction,Away from speaker,15
Ballantine_FRF_26102022_0947,Dishabituation,Voc,Reaction,Contact,2
Ballantine_FRF_26102022_0947,Habituation,FVO,Reaction,Distance,1
Ballantine_FRF_26102022_0947,Habituation,HSH,Reaction,None,1
Ballantine_FRF_26102022_0947,Habituation,Htlt,Reaction,None,1
Ballantine_FRF_26102022_0947,Habituation,Look,Reaction,At speaker,19
Ballantine_FRF_26102022_0947,Habituation,Look,Reaction,Away from speaker,20
Ballantine_FRF_26102022_0947,Silence_1,FVO,Reaction,Other,1
Ballantine_FRF_26102022_0947,Silence_1,HSH,Reaction,None,2
Ballantine_FRF_26102022_0947,Silence_1,Look,Reaction,At speaker,8
Ballantine_FRF_26102022_0947,Silence_1,Look,Reaction,Away from speaker,7
Ballantine_FRF_26102022_0947,Silence_2,Look,Reaction,At speaker,3
Ballantine_FRF_26102022_0947,Silence_2,Look,Reaction,Away from speaker,1
